Incident,Reported,Occurred,Type,Location,Summary,Status
2023-2602,10/30/23 12:22 AM,10/30/23 12:22 AM,Criminal Trespass / Public Lewdness,Third North Hall,A Campus Safety Officer and two students reported a criminal trespass and public lewdness.,Open
03131-2023,10/29/23 03:50 PM,10/29/23 03:00 PM - 10/29/23 03:45 PM,Larceny,Lipton Hall,A student reported missing property.,Open
2023-2600,10/29/23 04:49 PM,10/29/23 04:49 PM,Harassment,Palladium Hall - exterior,A student reported a harassment.,Open
03080-2023,10/28/23 11:09 PM,10/28/23 11:09 PM,Liquor Law Violation,University Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03076-2023,10/28/23 02:34 PM,10/28/23 02:30 PM,Harassment,Gramercy Green Hall,A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
03073-2023,10/28/23 01:27 AM,10/28/23 01:27 AM,Liquor Law Violation,Gramercy Green Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
03071-2023,10/28/23 01:14 AM,10/28/23 01:14 AM,Liquor Law Violation,Broome Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2588,10/28/23 04:30 PM,10/27/23 04:25 PM - 10/28/23 03:00 PM,Found Property (reclassified from Larceny),Bobst Library,A student reported missing property. On 11.14 the student reported the items were recovered.,Closed
2023-2586,10/28/23 09:51 AM,10/27/23 - 10/28/23,Criminal Mischief,Kimball Hall (exterior),A student reported graffiti.,Open
2023-2569*,10/27/23 11:15 AM,04/15/23 - 10/14/23,Stalking / Harassment / Dating Violence,Stuyvesant Town,"A student reported a stalking, harassment and dating violence.",Open
03063-2023,10/27/23 09:46 PM,10/27/23 09:46 PM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2573,10/27/23 01:37 PM,10/26/23 04:30 PM,Larceny,Weinstein Hall,A contractor reported missing property.,Open
2023-2572,10/27/23 12:25 PM,10/25/23 - 10/27/23,Larceny,"West 3rd Street, between MacDougal and Sullivan",A staff member reported missing property.,Open
2023-2571,10/27/23 12:26 PM,10/24/23 03:51 PM - 10/27/23 11:15 AM,Larceny,404 Lafayette,A student reported missing property.,Open
2023-2568,10/27/23 09:29 AM,10/27/23 09:29 AM,Public Lewdness,Palladium Hall - exterior,A Campus Safety Officer reported a public lewdness.,Open
2023-2565,10/27/23 12:29 AM,10/26/23 08:20 PM,Larceny,Bobst Library,A student reported missing property.,Open
2023-2564,10/26/23 10:32 PM,10/26/23 10:30 PM - 10/26/23 10:32 PM,Larceny,Broome Street Hall,A student reported missing property.,Open
2023-2563,10/26/23 06:52 PM,10/25/23 - 10/26/23,Criminal Mischief,1 Washington Square South - exterior,A staff member reported graffiti.,Open
2023-2559,10/26/23 04:15 PM,10/26/23 01:45 PM - 10/26/23 02:40 PM,Larceny,20 Cooper Square,A student reported a theft.,Open
2023-2548,10/26/23 04:30 PM,10/23/23 04:30 PM - 10/23/23 09:00 PM,Larceny,18 Washington Place,18 Washington Place,Open
2023-2532,10/25/23 10:56 AM,10/25/23 10:53 AM - 10/25/23 10:56 AM,Harassment,370 Jay Street,An NYU staff member reported a harassment.,Open
2023-2530,10/25/23 10:00 AM,10/17/23 05:00 PM - 10/25/23 08:00 AM,Larceny,44 West 4th Street,A staff member reported missing property.,Open
VSU025,10/24/23 10:30 AM,10/11/23 09:40 PM - 10/11/23 09:50 PM,Robbery,1 Washington Square Village - exterior,The NYPD reported a robbery.,Closed/Referred to NYPD
03002-2023,10/24/23 05:45 PM,10/23/23 - 10/25/23,Criminal Mischief,Gramercy Green,A student reported graffiti.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2524,10/24/23 05:59 PM,10/24/23 03:00 PM - 10/24/23 05:59 PM,Larceny,Paulson Center - exterior,A student reported a bike theft.,Open
2023-2523,10/24/23 04:30 PM,10/24/23 04:30 PM,Larceny,Schwartz Plaza,A Campus Safety Officer reported a bike theft.,Open
2023-2521,10/24/23 01:42 PM,10/24/23 12:00 PM,Illegal Parking,Schwartz Plaza,A staff member reported illegal parking.,Open
2023-2520,10/24/23 01:10 PM,10/24/23 11:11 AM,Harassment,433 First Avenue,A staff member reported a harassment.,Open
2023-2515,10/23/23 12:49 PM,10/23/23 12:36 PM,Harassment,Bobst Library,A staff member reported a harassment.,Open
2023-2512,10/23/23 01:27 PM,10/20/23 05:00 PM,Criminal Trespass,370 Jay Street,A staff member reported a trespass.,Open
2023-2503,10/23/23 12:47 AM,10/20/23 12:00 PM - 10/22/23 12:00 PM,Larceny / Scam,Founders Hall,A student reported a scam.,Open
2023-2496,10/22/23 07:45 AM,10/21/23 - 10/22/23,Criminal Mischief,Shimkin Hall - exterior,A Campus Safety Officer reported graffiti.,Open
2023-2492,10/22/23 11:57 PM,10/22/23 10:28 AM - 10/22/23 10:00 PM,Larceny,Lipton Hall,A student reported missing property.,Open
2023-2484,10/21/23 04:10 AM,10/21/23 04:10 AM,Burglary,370 Jay Street,A Campus Safety Officer reported an attempted burglary.,Open
2023-2482,10/21/23 12:14 AM,10/21/23 12:05 AM,Found Property (reclassified from Larceny),Lipton Hall,A student reported missing property. On 10/23/23 the student stated the items found.,Closed
2023-2479,10/20/23 09:06 PM,10/19/23 11:15 AM - 10/19/23 04:00 PM,Larceny,Paulson Center,A student reported missing property.,Open
2023-2478,10/20/23 08:01 PM,10/20/23 08:01 PM,Disorderly Conduct / Criminal Trespass,Skirball Theater,A staff member reported a disorderly conduct and attempted criminal trespass.,Open
2023-2477,10/20/23 04:52 PM,10/07/23 10:37 AM - 10/11/23 11:00 AM,Larceny,Palladium Hall,A student reported missing property.,Open
2023-2476,10/20/23,10/14/23 01:30 PM - 10/21/23 08:30 PM,Stalking,Kimmel Center,A student reported a stalking.,Open
2023-2473,10/20/23 03:20 PM,10/20/23 05:30 AM - 10/20/23 06:00 AM,Larceny,Weinstein Hall,A staff member reported missing property.,Open
02941-2023,10/19/23 10:23 AM,10/19/23 10:23 AM,Liquor Law Violation,Founders Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2472,10/20/23 01:50 PM,10/20/23 01:15 PM,Harassment,Dental Center,A staff member reported a harassment.,Open
02940-2023,10/19/23 09:31 PM,10/19/23 09:31 PM,Liquor Law Violation,University Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2470,10/19/23 09:35 PM,10/19/23 08:30 PM,Larceny,East 25th and First Avenue,A student reported a theft.,Open
2023-2469,10/19/23 09:19 PM,10/19/23 09:19 PM,Criminal Trespass,Paulson Center,A Campus Safety Officer reported an attempted trespass.,Open
2023-2463,10/19/23 01:29 PM,10/13/23 - 10/19/23,Larceny,Shimkin Hall,A staff member reported missing property.,Open
2023-2461,10/19/23 12:10 PM,10/09/23 - 10/19/23,Motor Vehicle Theft,Tisch Bike Racks,A student reported an e-scooter theft.,Open
2023-2460,10/19/23 09:52 AM,10/13/23 - 10/18/23,Harassment,383 Lafayette,A staff member reported a harassment.,Open
2023-2456,10/19/23 10:04 AM,08/15/23 - 10/18/23,Larceny,Tisch Hall,A staff member reported missing items.,Open
2023-2451,10/18/23 07:22 PM,10/18/23 12:45 PM - 10/18/23 07:20 PM,Motor Vehicle Theft,Tisch Bike Racks,A student reported an e-scooter theft.,Open
2023-2443,10/18/23 02:31 PM,10/18/23 02:30 PM,Motor Vehicle Theft,Tisch Bike Racks,A student reported an e-scooter theft.,Open
2023-2439,10/18/23 10:35 AM,10/17/23,Arson / Bias Incident,Washington Square Park,A faculty member reported an arson. The arson is being classified a bias/hate crime.,Open
2023-2436,10/18/23 11:05 AM,10/18/23 11:05 AM,Criminal Trespass,Vanderbilt Hall,A Campus Safety Officer reported an attempted trespass.,Open
2023-2435,10/18/23 09:43 AM,10/17/23 - 10/18/23,Criminal Mischief,238 Thompson Street,A Campus Safety Officer reported graffiti.,Open
2023-2428,10/17/23 12:17 PM,09/01/22 - 10/17/23,Harassment,Tisch Hall,A student reported a harassment.,Open
2023-2427,10/17/23 09:03 PM,10/17/23 08:00 PM,Harassment,40 West 4th Street (exterior),A student reported a harassment.,Open
2023-2426,10/17/23 07:51 PM,10/12/23 09:30 PM - 10/13/23 04:00 PM,Larceny,Gramercy Green,A student reported missing property.,Open
2023-2424,10/17/23 05:39 PM,10/17/23 05:39 PM,Motor Vehicle Theft,Tisch Bike Rack,A Campus Safety Officer reported an attempted e-scooter theft.,Open
2023-2423,10/17/23 05:09 PM,10/17/23 04:50 PM,Harassment,Washington Square North,A student reported a harassment.,Open
2023-2422,10/17/23 03:42 PM,10/17/23 02:40 PM,Harassment,Wilf Hall,A staff member reported a harassment.,Open
2023-2420,10/17/23 03:24 PM,10/17/23 11:00 AM - 10/17/23 03:00 PM,Larceny,6 Metrotech Center,A student reported missing property.,Open
2023-2411,10/16/23 09:20 PM,10/16/23 03:00 PM - 10/16/23 09:05 PM,Motor Vehicle Theft,Schwartz Plaza,A student reported an e-scooter theft.,Open
2023-2409,10/16/23 07:01 PM,10/16/23 07:01 PM,Criminal Trespass,Paulson Center,A Campus Safety Officer reported an attempted trespass.,Open
2023-2404,10/16/23 01:43 PM,10/16/23 01:08 PM,Disorderly Conduct,Schwartz Hall,A student reported a disorderly conduct.,Open
2023-2399,10/15/23 07:40 AM,10/15/23 07:40 AM,Criminal Mischief,Vanderbilt Hall,A Campus Safety Officer reported graffiti.,Open
2023-2389,10/15/23 07:55 AM,10/15/23 07:50 AM,Larceny,Sixth Street Dorm (exterior),A cab driver reported a theft.,Open
02877-2023,10/15/23 12:40 AM,10/15/23 12:40 AM,Liquor Law Violation,Broome Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02876-2023,10/14/23 12:04 AM,10/14/23 12:04 AM,Liquor Law Violation,Broome Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2388,10/15/23 08:28 AM,10/15/23 08:28 AM,Criminal Mischief,Weinstein Hall,A Campus Safety Officer reported graffiti.,Open
2023-2378,10/13/23 07:41 PM,10/13/23 07:41 PM,Larceny / Motor Vehicle Theft,Tisch Bike Racks,A Campus Safety Officer reported two thefts.,Open
VSU026,10/13/23 03:32 PM,09/16/23 03:50 PM - 10/16/23 04:30 PM,Simple Assault,561 LaGuardia Place - exterior,The NYPD reported a simple assault.,Closed/Referred to NYPD
2023-2375,10/13/23 03:33 PM,10/13/23 02:40 PM - 10/13/23 03:00 PM,Larceny,Washington Square Park,A student reported missing property.,Open
2023-2365,10/12/23 11:45 PM,10/12/23 11:40 PM,Larceny,Bobst Library,A student reported missing property.,Open
2023-2361,10/12/23 05:59 PM,10/12/23,Larceny,Lafayette Hall,A student reported a scam.,Open
2023-2359,10/12/23 04:51 PM,10/12/23 10:25 AM - 10/12/23 04:45 PM,Motor Vehicle Theft,Vanderbilt Hall (exterior),A student reported an e-bike theft.,Open
2023-2353,10/12/23 12:50 PM,10/04/23 03:10 PM,Larceny,Washington Square Park,A student reported a scam.,Open
2023-2347,10/12/23 11:20 AM,10/11/23 10:50 AM - 10/12/23,Larceny,Vanderbilt Hall,A student reported missing property.,Open
02806-2023,10/07/23 12:23 AM,10/06/23 11:50 PM,Liquor Law Violation,Palladium Hall,A student reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2343,10/11/23 09:13 PM,10/11/23 03:00 PM - 10/11/23 09:00 PM,Motor Vehicle Theft,Schwartz Plaza,A student reported an e-scooter theft.,Open
2023-2340,10/11/23 02:49 PM,10/11/23 02:20 PM,Criminal Trespass,Gramercy Green,A Campus Safety Officer reported a trespass.,Open
2023-2337,10/11/23 02:02 PM,09/27/23 08:00 PM - 09/27/23 11:55 PM,Larceny,Bobst Library,A student reported missing property.,Open
2023-2331,10/10/23 08:18 PM,10/01/23 06:16 PM - 10/01/23 06:20 PM,Larceny,Bobst Library,A student reported missing property.,Open
2023-2330,10/10/23 06:32 PM,10/10/23 06:30 PM,Harassment,Warren Weaver Hall (exterior),A student reported a harassment.,Open
2023-2328,10/10/23 04:28 PM,10/10/23 01:55 PM - 10/10/23 04:15 PM,Larceny,Palladium Hall,A student reported missing property.,Open
2023-2325,10/10/23 03:46 PM,10/10/23 01:45 PM - 10/10/23 03:15 PM,Found Property (reclassified from Larceny),Silver Center,A student reported missing property. On 10.11 the items were reported found.,Closed
2023-2311,10/09/23 05:55 PM,10/09/23 05:55 PM,Harassment,Bobst Library (exterior),A student reported a harassment.,Open
02783-2023,10/09/23 01:20 AM,10/09/23 01:20 AM,Liquor Law Violation,Founders Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2302,10/09/23 03:28 AM,10/09/23 03:28 AM,Criminal Trespass,726 Broadway,A Campus Safety Officer reported a trespass.,Open
2023-2297,10/08/23 04:04 PM,10/08/23 02:00 PM - 10/08/23 03:50 PM,Larceny,404 Lafayette,A student reported missing property.,Open
02769-2023,10/08/23 01:05 AM,10/08/23 01:05 AM,Liquor Law Violation,Third North Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
02755-2023,10/07/23 12:14 AM,10/07/23 12:14 AM,Liquor Law Violation,University Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2282,10/06/23 06:53 PM,10/01/23 04:00 PM,Larceny,Schwartz Plaza,A student reported a scam.,Open
2023-2281,10/06/23 04:43 PM,10/06/23 03:00 PM - 10/06/23 04:00 PM,Larceny,Tisch Hall,Students reported missing property.,Open
2023-2279,10/06/23 02:41 PM,10/04/23 10:00 PM - 10/06/23 02:41 PM,Larceny,44 West 4th Street,A staff member reported missing property.,Open
02787-2023,10/06/23 06:56 PM,10/06/23 01:30 PM,Stalking,Weinstein Hall (exterior),A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2278,10/06/23 01:39 PM,10/06/23 01:15 PM - 12/30/99 12:00 AM,Harassment,Pless Hall (exterior),A student reported a harassment.,Open
2023-2275,10/06/23 01:30 PM,10/06/23 10:36 AM,Harassment,724 Broadway (exterior),A student reported a harassment.,Open
2023-2270,10/06/23 01:45 AM,10/04/23,Larceny,Paulson Center,A student reported a scam.,Open
2023-2268,10/05/23 07:44 PM,10/05/23,Criminal Trespass,Palladium Hall,A student reported a trespass.,Closed
2023-2267,10/05/23 07:57 PM,10/01/23 02:45 PM,Larceny,Kimmel Center (exterior),A student reported an attempted scam.,Open
2023-2266,10/05/23 06:09 PM,10/05/23 06:00 PM,Found Property (reclassified from Larceny),Bobst Library,A student reported missing property. At 6:30pm the property was found.,Closed
2023-2265,10/05/23 03:00 PM,10/05/23 11:30 AM - 10/05/23 01:00 PM,Larceny,Starbucks on the Square,A Starbucks employee reported missing property.,Open
2023-2264,10/05/23 02:53 PM,03/01/23 - 10/02/23,Stalking / Sexual Abuse / Dating Violence,Washington Square Park,A student reported dating violence involving stalking and sexual abuse.,Open
2023-2262,10/05/23 02:43 PM,10/04/23 12:50 PM - 10/05/23 03:10 PM,Larceny,Third North Hall,A student reported missing property.,Open
2023-2261,10/05/23 01:24 PM,10/02/23 06:30 PM - 10/05/23 12:45 PM,Larceny,44 West 4th Street,A staff member reported missing property.,Open
2023-2260,10/05/23 01:24 PM,10/05/23 10:20 AM,Simple Assault,Kimmel Center (exterior),A student reported a simple assault.,Open
2023-2255,10/05/23 08:40 AM,10/05/23 08:40 AM,Simple Assault,College of Dentistry,A staff member reported a simple assault.,Open
2023-2248,10/04/23 06:00 PM,10/04/23 06:00 PM,Criminal Trespass,Fairchild Building,A Campus Safety Officer reported an attempted trespass.,Open
2023-2200,10/2/2023 10:26 PM,9/27/2023 - 9/28/2023,Stalking,Metrotech Commons,"A student reported an off campus stalking incident. On 10.4 upon further investigation, part of the stalking was determined to have occurred on campus.",Open
2023-2246,10/04/23 06:15 PM,10/04/23 11:00 AM - 10/04/23 06:07 PM,Motor Vehicle Theft,Schwartz Plaza,A student reported an e-scooter theft.,Open
2023-2245,10/04/23 05:00 PM,10/04/23 05:00 PM,Simple Assault / Disorderly Conduct,Metrotech Commons,"A student reported a simple assault. Upon camera review, disorderly conduct was added on 10.5",Open
2023-2244,10/04/23 05:37 PM,10/04/23 05:37 PM,Harassment,Metrotech Commons,A student reported a harassment.,Open
2023-2242,10/04/23 03:29 PM,10/03/23 09:20 AM,Harassment,Metrotech Commons,A student reported a harassment.,Open
2023-2240,10/04/23 12:48 PM,09/06/23 12:00 AM - 10/03/23 01:20 PM,Larceny,Hayden Hall,A student reported missing property.,Open
02818-2023,10/03/23 12:54 PM,10/02/23,Larceny,Palladium Hall,A student reported missing property.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2236,10/03/23 10:37 AM,10/03/23 04:15 PM,Larceny / Harassment,Washington Square Park,A student reported a theft and harassment.,Open
2023-2235,10/04/23 08:40 AM,10/03/23 01:20 PM,Harassment,East 25th Street and First Avenue,A student reported a harassment.,Open
2023-2233,10/03/23 11:32 PM,10/03/23 09:36 PM - 10/03/23 11:32 PM,Motor Vehicle Theft,Bobst Library - exterior,A student reported an e-scooter theft.,Open
2023-2227,10/03/23 05:00 PM,10/03/23 04:00 PM - 10/03/23 04:17 PM,Larceny,Paulson Center Hall,A student reported missing property.,Open
2023-2222,10/03/23 11:34 AM,10/03/23 11:34 AM,Criminal Trespass,725 Broadway,A Campus Safety Officer reported an attempted trespass.,Open
2023-2221,10/01/23 02:30 PM,06/04/22 - 10/01/23,Stalking,1 Washington Place,A staff member reported a stalking.,Open
2023-2220,10/03/23 09:34 AM,09/19/23 03:45 PM - 09/19/23 05:40 PM,Larceny,Bobst Library,A student reported missing property.,Open
2023-2209,10/02/23 01:49 PM,09/30/23 03:00 PM,Criminal Impersonation with the Intent to Defraud Another,University Place and Waverly,A student reported a scam.,Open
2023-2205,10/02/23 12:30 PM,November 2022 - 09/25/23,Harassment,Tisch Hall,A student reported a harassment.,Open
2023-2204,10/02/23 11:50 AM,09/29/23 06:00 PM,Criminal Trespass,Dibner Library,A staff member reported a trespass.,Open
2023-2196,10/02/23 12:14 AM,10/01/23 08:49 PM - 10/01/23 11:15 PM,Larceny,Palladium Hall,A student reported missing property.,Open
2023-2195,10/01/23 10:27 PM,10/01/23 10:27 PM,Loitering,40 East 7th Street,A staff member reported a loitering.,Open
02659-2023,09/30/23 09:38 PM,09/30/23 09:38 PM,Liquor Law Violation,Clark Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2185,09/30/23 03:13 AM,09/30/23 03:13 AM,Harassment,Palladium Hall,A Campus Safety Officer reported a harassment.,Open
2023-2181,09/30/23 12:30 AM,09/30/23 12:30 AM,Simple Assault,5 University Place (exterior),A student reported witnessing a simple assault.,Closed/Referred to NYPD
2023-2180,09/29/23 03:50 PM,09/29/23 03:00 PM - 09/29/23 03:45 PM,Larceny,Lipton Hall,A student reported missing property.,Open
2023-2164,09/28/23 10:30 PM,09/28/23 10:30 PM,Loitering,Founders Hall,A Campus Safety Officer reported loitering.,Open
2023-2160,09/28/23 05:34 PM,09/28/23 05:34 PM,Criminal Trespass,370 Jay Street,A Campus Safety Officer reported an attempted trespass.,Open
2023-2158,09/28/23 02:32 PM,09/28/23 02:11 PM,Aggravated Harassment / Falsely Reporting an Incident,Silver Center,A student reported an unsubstantiated/not credible bomb threat.,Closed/Referred to NYPD
2023-2157,09/28/23 01:18 PM,09/28/23 01:18 PM,Criminal Trespass,8 Washington Place,A Campus Safety Officer reported a trespass.,Open
2023-2153,09/28/23 08:50 AM,09/26/23 - 09/27/23,Criminal Mischief,Wilf Hall,A Campus Safety Officer reported graffiti.,Open
02628-2023,09/28/23 07:30 PM,09/28/23 03:00 PM - 09/28/23 09:00 PM,Larceny,Bobst Library,A student reported missing property.,Open
2023-2150,09/27/23 11:55 PM,09/11/23 - 09/27/23,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-2146,09/27/23 07:45 PM,09/27/23 07:45 PM,Drug Law Violation,University Hall,A student reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2145,09/27/23 06:27 PM,09/27/23 02:20 PM - 09/27/23 06:00 PM,Larceny,Silver Center (exterior),A student reported a bike theft.,Open
2023-2144,09/27/23 03:15 PM,09/14/23 - 09/19/23,Larceny,Chan House,A staff member reported missing property.,Open
2023-2140,09/27/23 03:40 PM,09/27/23 01:00 PM,Larceny,724 Broadway (exterior),A student reported a theft.,Open
2023-2136,09/27/23 10:45 AM,09/26/23 10:00 PM - 09/27/23 08:30 AM,Larceny,Silver Center,A student reported missing property.,Open
02624-2023,09/27/23 09:33 PM,09/26/23,Harassment,Broome Street Hall,A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
02615-2023,09/27/23 10:39 PM,09/27/23 10:39 PM,Liquor Law Violations,Clark Street Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2133,09/27/23 11:40 AM,09/26/23 06:15 PM - 09/27/23 08:55 AM,Larceny,Vanderbilt Hall,A staff member reported missing property.,Open
2023-2119,09/26/23 07:30 AM,09/25/23 - 09/26/23,Criminal Mischief,238 Thompson (exterior),A Campus Safety Officer reported graffiti.,Open
02599-2023,09/26/23 03:47 PM,09/26/23 03:00 PM,Simple Assault,Gramercy Green Hall,An RA reported two assaults.,Open
02598-2023,09/26/23 09:30 AM,09/26/23,Simple Assault,Paulson Center Hall,A student reported a simple assault.,Closed/Referred to Office of Student Conduct & Community Standards
2023-2115,09/25/23 08:29 PM,09/25/23 05:40 PM,Larceny,Weinstein Hall,A student reported missing personal property.,Open
2023-2113,09/25/23 05:14 PM,09/25/23 05:07 PM,Motor Vehicle Theft,Paulson Center (exterior),A Campus Safety Officer reported an attempted e-scooter theft.,Open
2023-2112,09/25/23 06:35 PM,09/25/23 04:55 PM - 09/25/23 06:05 PM,Larceny,19 University Place,A student reported missing property.,Open
2023-2111,09/25/23 04:08 PM,09/25/23 09:20 AM - 09/25/23 04:08 PM,Motor Vehicle Theft,Paulson Center (exterior),A student reported an e-bike theft.,Open
2023-2102,09/25/23 11:36 AM,09/22/23,Criminal Mischief,Weinstein Hall,A contractor reported damaged property.,Open
2023-2101,09/25/23 11:01 AM,09/25/23 11:01 AM,Criminal Mischief,Founders Hall,A contractor reported damaged property.,Open
02568-2023,09/24/23 01:45 PM,09/22/23 11:43 PM,Liquor Law Violation,Palladium Residence Hall,Two RA's reported a liquor law violation.,Closed
02559-2023,09/23/23 08:25 PM,09/21/23 10:00 PM,Criminal Trespass,Coral Tower Residence Hall,A suite of students reported a criminal trespassing.,Closed
2023-2084,09/23/23 06:26 PM,09/22/23 05:45 PM - 06/23/26 06:26 PM,Matter of Record (reclassfied from Larceny),725 Broadway,A student reported missing personal property. On 9.26 the student reported all items recovered.,Closed
02555-2023,09/23/23 01:42 AM,09/22/23 11:54 PM,Liquor Law Violation,Third Avenue North,Two RA's reported a liquor law violation.,Closed
2023-2079,09/22/23 09:40 PM,09/19/23 05:00 PM,Harassment / Disorderly Conduct,6 MetroTech (exterior),A student reported a harassment. Camera review on 9.28 further established disorderly conduct.,Closed
2023-2078,09/22/23 07:35 PM,09/22/23 12:15 PM - 09/22/23 07:30 PM,Larceny,370 Jay Street (exterior),A student reported a bike theft.,Open
2023-2077,09/22/23 07:30 PM,09/22/23 04:15 PM - 09/22/23 07:30 PM,Motor Vehicle Theft,Tisch bike racks,A student reported an electric scooter theft.,Open
2023-2073,09/20/23 07:10 AM,09/20/23 07:10 AM,Harassment,MacDougal Street and West 3rd Street,A contractor reported a harassment.,Open
2023-2069,09/21/23 05:45 PM,09/21/23 04:15 PM - 09/21/23 05:30 PM,Motor Vehicle Theft,Tisch Bike Racks,A student reported an e-scooter theft.,Open
2023-2068,09/21/23 01:45 PM,09/21/23 01:10 PM,Motor Vehicle Theft,Tisch bike racks,A student reported an electric scooter theft.,Open
2023-2053,09/20/23 06:29 PM,09/20/23 05:20 PM,Criminal Trespass,Lipton Hall,A Campus Safety Officer reported a trespass.,Open
2023-2052,09/20/23 06:42 PM,09/19/23 03:00 PM - 09/19/23 03:45 PM,Larceny,Bobst Library,A student reported missing personal property.,Open
2023-2050,09/20/23 05:09 PM,09/20/23 03:20 PM - 09/20/23 04:50 PM,Larceny,Rogers Hall,A student reported a bike theft.,Open
2023-2048,09/20/23 05:05 PM,09/16/23 11:10 PM - 09/16/23 11:20 PM,Criminal Mischief,Bobst Library,A student reported a criminal mischief.,Open
2023-2043,09/20/23,01/11/23,Larceny,Meyer Hall,"A student reported missing lab materials. Dates should read: 1/11/2023, 5/3/2023, 7/11/2023, 8/15, 2023, 8/23/2023.",Open
2023-2043,09/20/23,10/26/21,Criminal Mischief / Larceny,Meyer Hall,A student reported missing equipment and criminal mischief.,Open
2023-2043,09/20/23,07/11/23,Larceny,Meyer Hall,"A student reported missing equipment. The dates should read 7/11/2023, 3/7/2023, 2/4/2023, 9/27/2022, 10/24/2022, 11/7/2022",Open
2023-2043,09/20/23,09/11/23 - 09/15/23,Criminal Mischief,Meyer Hall,A student reported criminal mischief.,Open
02544-2023,09/22/23 03:04 AM,09/21/23 11:18 PM,Liquor Law Violation,Third Avenue North,Two RA's reported a liquor law violation.,Closed
2023-2040,09/20/23 11:54 AM,09/20/23 10:45 AM - 09/20/23 11:45 AM,Larceny,Bobst Library,A student reported missing personal property.,Open
C.0008081,09/19/23,09/12/23 - 09/19/23,Stalking,Silver Center,A student reported a stalking.,Closed/Referred to Title IX
